timestamp,latitude,longitude,city,state,country,aqi,main_pollutant,pm25,temperature,humidity,wind_speed,wind_direction,pressure,hour,day_of_week,month,time_since_last_peak,wind_east,wind_north,humidity_temp_interaction,hour day_of_week,hour month,day_of_week month
2025-04-02 06:00:00+00:00,1.0856335743127825,-0.27442661201683455,Kadoelen,North Holland,Netherlands,-0.6167742357110506,p2,-1.0677388375629033,-0.9001512206916281,0.10313768985725671,1.3170818044082389,-0.9878900777365501,1.7872994817769632,-0.7337114349597119,-0.3199786739107742,0.7676288142374551,1.437342921483502,1.8686192368801238,1.0484544796544921,-0.7480135350952715,0.2347720119915799,-0.5632180388105853,-0.24562485003540094
2025-04-02 06:00:00+00:00,1.0856335743127825,-0.27442661201683455,Kadoelen,North Holland,Netherlands,-0.6167742357110506,p2,-1.0677388375629033,-0.6763095518463728,-0.0009524876539510978,1.0802433988053355,-0.9878900777365501,1.7872994817769632,-0.7337114349597119,-0.3199786739107742,0.7676288142374551,1.437342921483502,1.7178630768899275,0.9673582389241583,-0.5703725204827556,0.2347720119915799,-0.5632180388105853,-0.24562485003540094
2025-04-02 06:00:00+00:00,1.0856335743127825,-0.27442661201683455,Kadoelen,North Holland,Netherlands,-0.6167742357110506,p2,-1.0677388375629033,-0.5643887174237452,-0.20913284267636673,1.3170818044082389,-0.9878900777365501,1.6244888554902357,-0.7337114349597119,-0.3199786739107742,0.7676288142374551,1.437342921483502,1.8686192368801238,1.0484544796544921,-0.5412761473996711,0.2347720119915799,-0.5632180388105853,-0.24562485003540094
2025-04-02 13:00:00+00:00,1.0856335743127825,-0.27442661201683455,Kadoelen,North Holland,Netherlands,-0.5416281522016387,p2,-1.0677388375629033,-0.2286262141558622,-0.5734484639655941,2.0139332670475496,-0.9878900777365501,1.4616782292035082,0.29555518579428663,-0.3199786739107742,0.7676288142374551,1.437342921483502,2.3121902460820474,1.2870645725725895,-0.41263955061129753,-0.09457135641790833,0.22687667681299897,-0.24562485003540094
2025-04-02 13:00:00+00:00,1.0856335743127825,-0.27442661201683455,Kadoelen,North Holland,Netherlands,-0.09075165114516774,p2,-0.7930326841851711,-0.11670537973323457,-0.6775386414768019,2.0139332670475496,-0.8048048987519988,1.136056976630053,0.29555518579428663,-0.3199786739107742,0.7676288142374551,1.437342921483502,2.6390525362288386,0.4503347768728924,-0.3758862372431908,-0.09457135641790833,0.22687667681299897,-0.24562485003540094
2025-04-02 17:00:00+00:00,1.0856335743127825,-0.27442661201683455,Kadoelen,North Holland,Netherlands,-0.05317860939046182,p2,-0.7930326841851711,-0.2286262141558622,-0.9898091740104253,1.549365625288009,-0.8048048987519988,0.9732463503433255,0.8837075405108573,-0.3199786739107742,0.7676288142374551,1.437342921483502,2.3027789758424313,0.3950891664620063,-0.5964061174518311,-0.2827675669376159,0.6783593714550472,-0.24562485003540094
2025-04-02 19:00:00+00:00,1.0856335743127825,-0.27442661201683455,Kadoelen,North Holland,Netherlands,0.8485743927224801,p2,0.5118215443590562,-0.34054704857848983,-0.625493552721198,1.0802433988053355,-0.8048048987519988,1.2988676029167807,1.1777837178691426,-0.3199786739107742,0.7676288142374551,1.437342921483502,1.9632086158443924,0.3393019324196409,-0.5198367146016089,-0.3768656721974697,0.9041007187760713,-0.24562485003540094
2025-04-02 20:00:00+00:00,1.0856335743127825,-0.27442661201683455,Kadoelen,North Holland,Netherlands,0.8110013509677743,p2,0.4431450060146232,-0.4524678830011175,-0.46935828645438626,1.3170818044082389,-0.8048048987519988,1.136056976630053,1.3248218065482853,-0.3199786739107742,0.7676288142374551,1.437342921483502,2.134642195649228,0.36746636125656323,-0.54433892351368,-0.4239147248273966,1.0169713924365833,-0.24562485003540094
2025-04-02 21:00:00+00:00,1.0856335743127825,-0.27442661201683455,Kadoelen,North Holland,Netherlands,0.923720476231892,p2,0.5804980827034892,-0.5643887174237452,-0.31322302018757453,-0.9146647099268088,-0.7773421219043161,1.136056976630053,1.471859895227428,-0.3199786739107742,0.7676288142374551,1.437342921483502,0.5238474726944736,0.07316180811489904,-0.5780294607677778,-0.4709637774573235,1.1298420660970954,-0.24562485003540094
2025-04-02 22:00:00+00:00,1.0856335743127825,-0.27442661201683455,Kadoelen,North Holland,Netherlands,0.09711355762836185,p2,-0.5183265308074391,-0.5643887174237452,-0.10504266516515891,-0.709708397385835,-0.8688847113965917,1.2988676029167807,1.6188979839065705,-0.3199786739107742,0.7676288142374551,1.437342921483502,0.646192672006614,0.20939304169542883,-0.5045228340315644,-0.5180128300872503,1.2427127397576074,-0.24562485003540094
